lng,lat,nome
7.655106,45.052502,Largo Orbassano [N]
7.666967,45.060875,Corso Ducad'Aosta
7.672922,45.074478,Corso Palestro / Via Carlo Boucheron
7.669018,45.01709,Rotonda Corso Unità d'Italia / Via C. Corrdino (stz benzina
7.663157,45.021969,Via Passo Buole / Via Nizza
7.654534,45.020668,Corso Traiano / Via Sette Comuni
7.67341,45.02985,Corso Unità d'Italia / Piazzale Fratelli Ceirano
7.676243,45.033611,Corso Unione d'Italia / Campi Tennis
7.685940000000001,45.044636,Corso Moncalieri / Ponte Principessa Isabella
7.676796,45.049171,Via Madama Cristina / Via Franceco Petrarca
7.681180000000001,45.055641,Corso Guglielmo Marconi / Via Madama Cristina
7.689185,45.053703,Segnaposto 96
7.687907999999999,45.061646,Via Giuseppe Mazzini / Via Andrea Provana
7.700182000000001,45.063251,Via Santorre Santarosa / Via Monferrato
7.705337000000001,45.062580000000004,Via Cardinal Maurizio / Via Asti
7.710047,45.067207,Piazza Francesco Borromini
7.692288,45.071609,Corso San Maurizio / Bagus del Giardino Reale
7.692822,45.071308,Corso San Maurizio / Via Gioacchino Rossini
7.723547,45.070099,Corso Casale / Parcheggio fronte alla Revolucion
7.727252,45.099827,Strada di San Mauro
7.700114999999999,45.070004,Via Cesare Balbo
7.711063000000001,45.084202,Corso Regio Parco / Cimetiere
7.694807,45.077076,Corso Regio Parco
7.664273,45.068256,Corso Bolzano / Corso Vittorio Emanuele II
7.663659,45.061985,Piazzale Duca d'Aosta
7.669159999999999,45.057503,Corso Re Umberto
7.634527,45.058216,Parco Ruffini - Viale Leonardo Bistolfi / Corso Trapani
7.680323,45.075329,Via Sant'Agostino / Davanti la chiesa
7.631728,45.056614,Parco Ruffini - Corso Lione
7.686980000000001,45.084248,Corso Vercelli Parco
7.686589000000001,45.084183,Corso Vercelli Parco
7.647217,45.046528,Via Barletta / Chiesa Santa Rita
7.672134,45.03923,Via Tepice / Via Genova
7.669374000000001,45.037514,Via Nizza / Corso Spezia
7.700005,45.101467,Piazza Derna
